projectIdentifier,subappType,subapplicationType
DR-1232-0019-R,Regular Project,Flood Control
DR-1226-0040-R,Regular Project,Elevations
DR-1236-0004-R,Regular Project,Acquisitions
DR-1236-0006-R,Regular Project,Flood Control
DR-1236-0002-R,Regular Project,Acquisitions
DR-1236-0005-R,Regular Project,Acquisitions
DR-1236-0001-R,Regular Project,Acquisitions
DR-1236-0003-R,Regular Project,Acquisitions
DR-1236-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1188-0016-R,Regular Project,Acquisitions
DR-1188-0009-R,Regular Project,Acquisitions
DR-1188-0021-F,HMGP 5% Initiative,Acquisitions
DR-1108-0001-F,HMGP 5% Initiative,Warning Systems
DR-1108-0003-R,Regular Project,Acquisitions
DR-1108-0007-R,Regular Project,Flood Control
DR-1029-0001-R,Regular Project,Acquisitions
DR-1188-0006-R,Regular Project,Utility and Infrastructure Protection
DR-1108-0008-R,Regular Project,Flood Control
DR-1188-0024-R,Regular Project,Acquisitions
DR-1188-0007-R,Regular Project,Acquisitions
DR-1188-0011-R,Regular Project,Acquisitions
DR-1188-0012-R,Regular Project,Acquisitions
DR-1026-0004-R,Regular Project,Warning Systems
DR-1026-0005-F,HMGP 5% Initiative,Warning Systems
DR-1026-0003-R,Regular Project,Warning Systems
DR-1026-0002-F,HMGP 5% Initiative,Warning Systems
DR-1224-0004-F,HMGP 5% Initiative,Education and Awareness
DR-1224-0019-R,Regular Project,Flood Control
DR-1023-0003-R,Regular Project,Acquisitions
DR-1026-0001-F,HMGP 5% Initiative,Warning Systems
DR-1051-0003-R,Regular Project,Elevations
DR-1023-0001-R,Regular Project,Acquisitions
DR-1043-0003-R,Regular Project,Flood Control
DR-1224-0016-R,Regular Project,Utility and Infrastructure Protection
DR-1219-0003-F,HMGP 5% Initiative,Other Equipment
DR-1224-0009-R,Regular Project,Flood Control
DR-1043-0008-R,Regular Project,Other
DR-1219-0004-R,Regular Project,Floodproofing
DR-1224-0014-R,Regular Project,Flood Control
DR-1219-0005-R,Regular Project,Floodproofing
DR-1219-0006-R,Regular Project,Flood Control
DR-1219-0008-R,Regular Project,Flood Control
DR-1219-0009-R,Regular Project,Flood Control
DR-1219-0002-F,HMGP 5% Initiative,Other Equipment
DR-1219-0020-R,Regular Project,Acquisitions
DR-1141-0003-R,Regular Project,Wind Retrofit
DR-1141-0007-R,Regular Project,Wind Retrofit
DR-1141-0008-R,Regular Project,Wind Retrofit
DR-1141-0002-R,Regular Project,Wind Retrofit
DR-1141-0001-R,Regular Project,Wind Retrofit
DR-1036-0006-R,Regular Project,Shoreline Stabilization
DR-1141-0017-R,Regular Project,Wind Retrofit
DR-1038-0001-R,Regular Project,Miscellaneous
DR-1141-0005-R,Regular Project,Utility and Infrastructure Protection
DR-1141-0004-R,Regular Project,Wind Retrofit
DR-1038-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1141-0022-R,Regular Project,Shoreline Stabilization
DR-1141-0020-R,Regular Project,Wind Retrofit
DR-1141-0027-R,Regular Project,Wind Retrofit
DR-1036-0005-R,Regular Project,Shoreline Stabilization
DR-1036-0004-R,Regular Project,Miscellaneous
DR-1037-0003-R,Regular Project,Landslide Stabilization
DR-1141-0029-R,Regular Project,Shoreline Stabilization
DR-1182-0001-R,Regular Project,Acquisitions
DR-1224-0008-R,Regular Project,Flood Control
DR-0888-0003-R,Regular Project,Flood Control
DR-1145-0100-R,Regular Project,Acquisitions
DR-1036-0007-R,Regular Project,Miscellaneous
DR-1036-0002-R,Regular Project,Shoreline Stabilization
DR-1037-0004-R,Regular Project,Other
DR-1141-0021-F,HMGP 5% Initiative,Warning Systems
DR-1224-0010-R,Regular Project,Flood Control
DR-1141-0018-R,Regular Project,Flood Control
DR-1141-0019-F,HMGP 5% Initiative,Codes and Standards
DR-1224-0002-R,Regular Project,Floodproofing
DR-1043-0006-F,HMGP 5% Initiative,Warning Systems
DR-1219-0010-F,HMGP 5% Initiative,Warning Systems
DR-1141-0024-R,Regular Project,Flood Control
DR-1036-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1051-0005-R,Regular Project,Wind Retrofit
DR-1056-0005-R,Regular Project,Mitigation Planning
DR-1141-0010-R,Regular Project,Wind Retrofit
DR-1141-0026-R,Regular Project,Elevations
DR-1224-0003-R,Regular Project,Floodproofing
DR-1141-0025-R,Regular Project,Flood Control
DR-1219-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1219-0011-R,Regular Project,Seismic Retrofit
DR-0888-0002-F,HMGP 5% Initiative,"Feasibility, Engineering, and Design Studies"
DR-1023-0002-R,Regular Project,Acquisitions
DR-1065-0002-R,Regular Project,Acquisitions
DR-1065-0001-R,Regular Project,Acquisitions
DR-1178-0001-R,Regular Project,Acquisitions
DR-1051-0007-R,Regular Project,Miscellaneous
DR-1141-0028-R,Regular Project,Shoreline Stabilization
DR-1051-0008-F,HMGP 5% Initiative,Mitigation Planning
DR-1051-0002-R,Regular Project,"Feasibility, Engineering, and Design Studies"
DR-1037-0002-R,Regular Project,Flood Control
DR-1051-0001-R,Regular Project,Other Equipment
DR-1037-0001-R,Regular Project,Relocations
DR-1224-0001-R,Regular Project,Acquisitions
DR-1051-0006-R,Regular Project,Wind Retrofit
DR-1037-0005-R,Regular Project,Other
DR-1037-0006-R,Regular Project,Utility and Infrastructure Protection
DR-1224-0015-R,Regular Project,Shoreline Stabilization
DR-1224-0017-R,Regular Project,Warning Systems
DR-1224-0018-F,HMGP 5% Initiative,Warning Systems
DR-1036-0003-R,Regular Project,Miscellaneous
DR-1219-0013-R,Regular Project,Flood Control
DR-1224-0006-R,Regular Project,Flood Control
DR-1219-0012-F,HMGP 5% Initiative,Other Equipment
DR-1141-0012-F,HMGP 5% Initiative,Codes and Standards
DR-1141-0030-R,Regular Project,Wind Retrofit
DR-1224-0021-R,Regular Project,Utility and Infrastructure Protection
DR-1023-0005-R,Regular Project,Acquisitions
DR-1224-0012-R,Regular Project,Flood Control
DR-1224-0005-R,Regular Project,Flood Control
DR-1220-0012-R,Regular Project,Flood Control
DR-1209-0006-F,HMGP 5% Initiative,Warning Systems
DR-1209-0003-F,HMGP 5% Initiative,Other Equipment
DR-1203-106-R,Regular Project,Acquisitions
DR-1203-0025-R,Regular Project,Flood Control
DR-1198-0021-R,Regular Project,Flood Control
DR-1198-0018-R,Regular Project,Flood Control
DR-1198-0015-R,Regular Project,Other
DR-1216-0014-F,HMGP 5% Initiative,Other Equipment
DR-1216-0012-F,HMGP 5% Initiative,Warning Systems
DR-1203-4443-R,Regular Project,Flood Control
DR-1223-0006-F,HMGP 5% Initiative,Warning Systems
DR-1209-0004-F,HMGP 5% Initiative,Warning Systems
DR-1216-0001-F,HMGP 5% Initiative,Warning Systems
DR-1209-0021-F,HMGP 5% Initiative,Warning Systems
DR-1208-0008-R,Regular Project,Acquisitions
DR-1187-0005-R,Regular Project,Utility and Infrastructure Protection
DR-1198-0070-R,Regular Project,Utility and Infrastructure Protection
DR-1204-0007-R,Regular Project,Wind Retrofit
DR-1198-0041-R,Regular Project,Utility and Infrastructure Protection
DR-1231-0009-R,Regular Project,Flood Control
DR-1198-0010-R,Regular Project,Other
DR-1198-0014-R,Regular Project,Utility and Infrastructure Protection
DR-1195-0096-R,Regular Project,Wind Retrofit
DR-1198-0016-R,Regular Project,Flood Control
DR-1198-0019-R,Regular Project,Flood Control
DR-1201-0007-R,Regular Project,Shoreline Stabilization
DR-1228-0003-R,Regular Project,Acquisitions
DR-1204-0006-R,Regular Project,Wind Retrofit
DR-1181-0043-F,HMGP 5% Initiative,Other Equipment
DR-1198-0037-R,Regular Project,Utility and Infrastructure Protection
DR-1204-0010-R,Regular Project,Wind Retrofit
DR-1198-0084-R,Regular Project,Utility and Infrastructure Protection
DR-1214-0011-R,Regular Project,Other
DR-1201-0010-R,Regular Project,Flood Control
DR-1195-0095-R,Regular Project,Relocations
DR-1198-0097-R,Regular Project,Utility and Infrastructure Protection
DR-1216-0015-F,HMGP 5% Initiative,Other Equipment
DR-1198-0020-R,Regular Project,Flood Control
DR-1184-0014-R,Regular Project,Flood Control
DR-1209-0014-F,HMGP 5% Initiative,Warning Systems
DR-1198-0100-F,HMGP 5% Initiative,Warning Systems
DR-1198-0071-R,Regular Project,Utility and Infrastructure Protection
DR-1199-0014-R,Regular Project,Flood Control
DR-1228-0019-R,Regular Project,Flood Control
DR-1198-0040-R,Regular Project,Shoreline Stabilization
DR-1198-0072-R,Regular Project,Utility and Infrastructure Protection
DR-1198-0082-R,Regular Project,Utility and Infrastructure Protection
DR-1209-0040-F,HMGP 5% Initiative,Warning Systems
DR-1231-0008-R,Regular Project,Warning Systems
DR-1003-0006-R,Regular Project,Acquisitions
DR-1204-0018-R,Regular Project,Wind Retrofit
DR-1209-0045-R,Regular Project,Acquisitions
DR-1199-0031-R,Regular Project,Flood Control
DR-1198-0049-R,Regular Project,Utility and Infrastructure Protection
DR-1198-0086-R,Regular Project,Utility and Infrastructure Protection
DR-1181-0053-R,Regular Project,Flood Control
DR-1216-0010-F,HMGP 5% Initiative,Warning Systems
DR-1223-0007-F,HMGP 5% Initiative,Other Equipment
DR-1195-0097-R,Regular Project,Elevations
DR-1231-0004-F,HMGP 5% Initiative,Education and Awareness
DR-1177-0018-R,Regular Project,Flood Control
DR-1209-0056-R,Regular Project,Flood Control
DR-1195-0012-R,Regular Project,Wind Retrofit
DR-1199-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1199-0030-R,Regular Project,Utility and Infrastructure Protection
DR-1195-0094-R,Regular Project,Elevations
DR-1198-0038-R,Regular Project,Utility and Infrastructure Protection
DR-1181-0036-R,Regular Project,"Feasibility, Engineering, and Design Studies"
DR-1198-0061-R,Regular Project,Utility and Infrastructure Protection
DR-1195-0079-R,Regular Project,Wind Retrofit
DR-1198-0085-R,Regular Project,Utility and Infrastructure Protection
DR-1203-4436-R,Regular Project,Utility and Infrastructure Protection
DR-1195-0098-R,Regular Project,Shoreline Stabilization
DR-1228-0014-R,Regular Project,Flood Control
DR-1197-0008-R,Regular Project,Flood Control
DR-1228-0017-R,Regular Project,Flood Control
DR-1214-0008-R,Regular Project,Acquisitions
DR-1195-0093-R,Regular Project,Utility and Infrastructure Protection
DR-1198-0048-R,Regular Project,Utility and Infrastructure Protection
DR-1220-0014-R,Regular Project,Flood Control
DR-1181-0048-R,Regular Project,Acquisitions
DR-1195-0031-R,Regular Project,Acquisitions
DR-1203-102-R,Regular Project,Acquisitions
DR-1203-M031-M,Management Costs,Management Costs and Technical Assistance
DR-1187-0002-R,Regular Project,Acquisitions
DR-1203-M020-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M050-M,Management Costs,Management Costs and Technical Assistance
DR-1238-0002-R,Regular Project,Acquisitions
DR-1203-121-R,Regular Project,Acquisitions
DR-1203-122-R,Regular Project,Acquisitions
DR-1196-4031-R,Regular Project,Flood Control
DR-1180-0002-F,HMGP 5% Initiative,Education and Awareness
DR-1203-M023-M,Management Costs,Management Costs and Technical Assistance
DR-1177-0010-F,HMGP 5% Initiative,Education and Awareness
DR-1203-M026-M,Management Costs,Management Costs and Technical Assistance
DR-1203-101-R,Regular Project,Acquisitions
DR-1180-0008-R,Regular Project,Acquisitions
DR-1199-0010-R,Regular Project,Flood Control
DR-1184-0003-R,Regular Project,Acquisitions
DR-1209-0024-F,HMGP 5% Initiative,Warning Systems
DR-1203-103-R,Regular Project,Acquisitions
DR-1177-0009-R,Regular Project,Elevations
DR-1184-0001-R,Regular Project,Acquisitions
DR-1181-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M027-M,Management Costs,Management Costs and Technical Assistance
DR-1195-0019-R,Regular Project,Wind Retrofit
DR-1177-0008-R,Regular Project,Seismic Retrofit
DR-1180-0006-R,Regular Project,Acquisitions
DR-1203-120-R,Regular Project,Acquisitions
DR-1184-0008-R,Regular Project,Acquisitions
DR-1003-0001-R,Regular Project,Education and Awareness
DR-1203-M004-M,Management Costs,Management Costs and Technical Assistance
DR-1003-0004-R,Regular Project,Acquisitions
DR-1208-0001-F,HMGP 5% Initiative,Warning Systems
DR-1228-0015-R,Regular Project,Flood Control
DR-1198-0051-R,Regular Project,Flood Control
DR-1203-123-F,HMGP 5% Initiative,Other Equipment
DR-1197-0003-R,Regular Project,Acquisitions
DR-1185-0001-F,HMGP 5% Initiative,Warning Systems
DR-1238-0001-R,Regular Project,Acquisitions
DR-1198-0052-R,Regular Project,Flood Control
DR-1228-0002-R,Regular Project,Acquisitions
DR-1203-M054-M,Management Costs,Management Costs and Technical Assistance
DR-1215-0007-R,Regular Project,Acquisitions
DR-1231-0011-R,Regular Project,Flood Control
DR-1177-0012-R,Regular Project,Acquisitions
DR-1184-0015-R,Regular Project,Acquisitions
DR-1197-0015-R,Regular Project,Acquisitions
DR-1215-0008-R,Regular Project,Acquisitions
DR-1198-0104-R,Regular Project,Flood Control
DR-1198-0054-R,Regular Project,Utility and Infrastructure Protection
DR-1203-M036-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M046-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M035-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M037-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M041-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M045-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M049-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M030-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M034-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M048-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M033-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M043-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M044-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M051-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M047-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M038-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M039-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M040-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M042-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M052-M,Management Costs,Management Costs and Technical Assistance
DR-1198-0056-R,Regular Project,Utility and Infrastructure Protection
DR-1180-0007-R,Regular Project,Acquisitions
DR-1195-0043-R,Regular Project,Wind Retrofit
DR-1196-4039-R,Regular Project,Flood Control
DR-1203-M029-M,Management Costs,Management Costs and Technical Assistance
DR-1214-0018-F,HMGP 5% Initiative,Warning Systems
DR-1195-0017-R,Regular Project,Wind Retrofit
DR-1003-0003-F,HMGP 5% Initiative,Other Equipment
DR-1229-0004-R,Regular Project,Acquisitions
DR-1196-4030-R,Regular Project,Utility and Infrastructure Protection
DR-1196-4057-R,Regular Project,Acquisitions
DR-1201-0011-R,Regular Project,Landslide Stabilization
DR-1198-0042-R,Regular Project,Generators
DR-1198-0060-R,Regular Project,Utility and Infrastructure Protection
DR-1196-4035-R,Regular Project,Flood Control
DR-1199-0041-R,Regular Project,Flood Control
DR-1195-0086-R,Regular Project,Flood Control
DR-1195-0100-R,Regular Project,Acquisitions
DR-1209-0019-F,HMGP 5% Initiative,Warning Systems
DR-1209-0054-R,Regular Project,"Feasibility, Engineering, and Design Studies"
DR-1209-0029-F,HMGP 5% Initiative,Warning Systems
DR-1203-M008-M,Management Costs,Management Costs and Technical Assistance
DR-1199-0028-R,Regular Project,Flood Control
DR-1198-0053-R,Regular Project,Utility and Infrastructure Protection
DR-1198-0059-R,Regular Project,Utility and Infrastructure Protection
DR-1197-0010-R,Regular Project,Acquisitions
DR-1229-0007-R,Regular Project,Acquisitions
DR-1203-M005-M,Management Costs,Management Costs and Technical Assistance
DR-1195-0077-R,Regular Project,Flood Control
DR-1195-0076-R,Regular Project,Wind Retrofit
DR-1235-0001-R,Regular Project,Acquisitions
DR-1180-0009-R,Regular Project,Acquisitions
DR-1209-0033-F,HMGP 5% Initiative,Warning Systems
DR-1195-0024-R,Regular Project,Wind Retrofit
DR-1203-M011-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M015-M,Management Costs,Management Costs and Technical Assistance
DR-1199-0047-R,Regular Project,Flood Control
DR-1203-M002-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M021-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M022-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M010-M,Management Costs,Management Costs and Technical Assistance
DR-1235-0004-R,Regular Project,Acquisitions
DR-1203-M009-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M024-M,Management Costs,Management Costs and Technical Assistance
DR-1215-0012-R,Regular Project,Acquisitions
DR-1203-M025-M,Management Costs,Management Costs and Technical Assistance
DR-1212-0005-R,Regular Project,Utility and Infrastructure Protection
DR-1197-0013-R,Regular Project,Acquisitions
DR-1218-0011-R,Regular Project,Flood Control
DR-1203-M007-M,Management Costs,Management Costs and Technical Assistance
DR-1212-0012-R,Regular Project,Utility and Infrastructure Protection
DR-1212-0013-R,Regular Project,Utility and Infrastructure Protection
DR-1203-M006-M,Management Costs,Management Costs and Technical Assistance
DR-1198-0106-R,Regular Project,Flood Control
DR-1203-M012-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M013-M,Management Costs,Management Costs and Technical Assistance
DR-1220-0016-R,Regular Project,Acquisitions
DR-1203-M016-M,Management Costs,Management Costs and Technical Assistance
DR-1215-0010-R,Regular Project,Acquisitions
DR-1211-0003-R,Regular Project,Elevations
DR-1196-4063-R,Regular Project,Utility and Infrastructure Protection
DR-1203-M003-M,Management Costs,Management Costs and Technical Assistance
DR-1227-0002-R,Regular Project,Acquisitions
DR-1214-0001-F,HMGP 5% Initiative,Warning Systems
DR-1195-0007-R,Regular Project,Wind Retrofit
DR-1209-0007-F,HMGP 5% Initiative,Warning Systems
DR-1196-4032-R,Regular Project,Wind Retrofit
DR-1198-0055-R,Regular Project,Utility and Infrastructure Protection
DR-1198-0058-R,Regular Project,Utility and Infrastructure Protection
DR-1198-0067-R,Regular Project,Utility and Infrastructure Protection
DR-1198-0057-R,Regular Project,Utility and Infrastructure Protection
DR-1198-0066-R,Regular Project,Utility and Infrastructure Protection
DR-1218-0012-R,Regular Project,Flood Control
DR-1233-5008-R,Regular Project,Flood Control
DR-1209-0030-F,HMGP 5% Initiative,Warning Systems
DR-1199-0002-R,Regular Project,Shoreline Stabilization
DR-1238-0007-R,Regular Project,Flood Control
DR-1203-M032-M,Management Costs,Management Costs and Technical Assistance
DR-1203-M028-M,Management Costs,Management Costs and Technical Assistance
